,Show,EpId,ClipId,filename,Interjection,um_label_1
281,HeStutters,1,241,HeStutters_1_241.wav,1,
285,HeStutters,1,245,HeStutters_1_245.wav,1,
288,HeStutters,1,248,HeStutters_1_248.wav,1,
289,HeStutters,1,249,HeStutters_1_249.wav,1,
291,HeStutters,1,251,HeStutters_1_251.wav,1,
292,HeStutters,1,252,HeStutters_1_252.wav,3,1
293,HeStutters,1,253,HeStutters_1_253.wav,1,
295,HeStutters,1,255,HeStutters_1_255.wav,1,
301,HeStutters,1,261,HeStutters_1_261.wav,2,
309,HeStutters,1,269,HeStutters_1_269.wav,1,
310,HeStutters,1,270,HeStutters_1_270.wav,1,
315,HeStutters,2,2,HeStutters_2_2.wav,2,1
317,HeStutters,2,4,HeStutters_2_4.wav,1,
319,HeStutters,2,6,HeStutters_2_6.wav,2,1
320,HeStutters,2,7,HeStutters_2_7.wav,2,1
321,HeStutters,2,8,HeStutters_2_8.wav,3,1
328,HeStutters,2,15,HeStutters_2_15.wav,2,
330,HeStutters,2,17,HeStutters_2_17.wav,3,1
332,HeStutters,2,19,HeStutters_2_19.wav,3,1
333,HeStutters,2,20,HeStutters_2_20.wav,2,
334,HeStutters,2,21,HeStutters_2_21.wav,3,
337,HeStutters,2,24,HeStutters_2_24.wav,1,
339,HeStutters,2,26,HeStutters_2_26.wav,2,1
340,HeStutters,2,27,HeStutters_2_27.wav,2,1
341,HeStutters,2,28,HeStutters_2_28.wav,2,1
343,HeStutters,2,30,HeStutters_2_30.wav,3,1
345,HeStutters,2,32,HeStutters_2_32.wav,1,
347,HeStutters,2,34,HeStutters_2_34.wav,1,
355,HeStutters,2,42,HeStutters_2_42.wav,1,
362,HeStutters,2,49,HeStutters_2_49.wav,1,1
365,HeStutters,2,52,HeStutters_2_52.wav,2,
368,HeStutters,2,55,HeStutters_2_55.wav,1,1
371,HeStutters,2,58,HeStutters_2_58.wav,1,
372,HeStutters,2,59,HeStutters_2_59.wav,1,
373,HeStutters,2,60,HeStutters_2_60.wav,3,1
375,HeStutters,2,62,HeStutters_2_62.wav,3,1
376,HeStutters,2,63,HeStutters_2_63.wav,2,1
379,HeStutters,2,66,HeStutters_2_66.wav,3,1
382,HeStutters,2,69,HeStutters_2_69.wav,1,1
383,HeStutters,2,70,HeStutters_2_70.wav,3,1
388,HeStutters,2,75,HeStutters_2_75.wav,3,1
389,HeStutters,2,76,HeStutters_2_76.wav,3,1
393,HeStutters,2,80,HeStutters_2_80.wav,3,1
396,HeStutters,2,83,HeStutters_2_83.wav,2,1
397,HeStutters,2,84,HeStutters_2_84.wav,1,1
399,HeStutters,2,86,HeStutters_2_86.wav,3,1
400,HeStutters,2,87,HeStutters_2_87.wav,3,1
403,HeStutters,2,90,HeStutters_2_90.wav,3,
404,HeStutters,2,91,HeStutters_2_91.wav,1,1
405,HeStutters,2,92,HeStutters_2_92.wav,3,1
406,HeStutters,2,93,HeStutters_2_93.wav,3,1
407,HeStutters,2,94,HeStutters_2_94.wav,3,1
408,HeStutters,2,95,HeStutters_2_95.wav,2,1
411,HeStutters,2,98,HeStutters_2_98.wav,3,
415,HeStutters,2,102,HeStutters_2_102.wav,3,1
416,HeStutters,2,103,HeStutters_2_103.wav,3,
417,HeStutters,2,104,HeStutters_2_104.wav,3,1
418,HeStutters,2,105,HeStutters_2_105.wav,1,
419,HeStutters,2,106,HeStutters_2_106.wav,3,1
422,HeStutters,2,109,HeStutters_2_109.wav,1,
425,HeStutters,2,112,HeStutters_2_112.wav,3,1
426,HeStutters,2,113,HeStutters_2_113.wav,3,
427,HeStutters,2,114,HeStutters_2_114.wav,3,1
428,HeStutters,2,115,HeStutters_2_115.wav,3,1
429,HeStutters,2,116,HeStutters_2_116.wav,2,
432,HeStutters,2,119,HeStutters_2_119.wav,2,
437,HeStutters,2,124,HeStutters_2_124.wav,2,
438,HeStutters,2,125,HeStutters_2_125.wav,1,
439,HeStutters,2,126,HeStutters_2_126.wav,1,
440,HeStutters,2,127,HeStutters_2_127.wav,2,1
441,HeStutters,2,128,HeStutters_2_128.wav,3,1
442,HeStutters,2,129,HeStutters_2_129.wav,3,1
443,HeStutters,2,130,HeStutters_2_130.wav,3,1
444,HeStutters,2,131,HeStutters_2_131.wav,3,1
445,HeStutters,2,132,HeStutters_2_132.wav,1,1
446,HeStutters,2,133,HeStutters_2_133.wav,3,1
457,HeStutters,2,144,HeStutters_2_144.wav,1,
458,HeStutters,2,145,HeStutters_2_145.wav,3,1
459,HeStutters,2,146,HeStutters_2_146.wav,3,1
460,HeStutters,2,147,HeStutters_2_147.wav,1,
461,HeStutters,2,148,HeStutters_2_148.wav,2,1
463,HeStutters,2,150,HeStutters_2_150.wav,1,
467,HeStutters,2,154,HeStutters_2_154.wav,2,1
468,HeStutters,2,155,HeStutters_2_155.wav,3,1
471,HeStutters,2,158,HeStutters_2_158.wav,2,
474,HeStutters,2,161,HeStutters_2_161.wav,1,
476,HeStutters,2,163,HeStutters_2_163.wav,1,
480,HeStutters,2,167,HeStutters_2_167.wav,3,1
481,HeStutters,2,168,HeStutters_2_168.wav,3,1
485,HeStutters,2,172,HeStutters_2_172.wav,2,1
490,HeStutters,2,177,HeStutters_2_177.wav,1,
491,HeStutters,2,178,HeStutters_2_178.wav,3,
492,HeStutters,2,179,HeStutters_2_179.wav,3,1
493,HeStutters,2,180,HeStutters_2_180.wav,1,
496,HeStutters,2,183,HeStutters_2_183.wav,1,
499,HeStutters,2,186,HeStutters_2_186.wav,1,
505,HeStutters,2,192,HeStutters_2_192.wav,3,
506,HeStutters,2,193,HeStutters_2_193.wav,3,1
507,HeStutters,2,194,HeStutters_2_194.wav,3,1
509,HeStutters,2,196,HeStutters_2_196.wav,3,1
511,HeStutters,2,198,HeStutters_2_198.wav,3,1
512,HeStutters,2,199,HeStutters_2_199.wav,1,
515,HeStutters,2,202,HeStutters_2_202.wav,1,
519,HeStutters,2,206,HeStutters_2_206.wav,1,
520,HeStutters,2,207,HeStutters_2_207.wav,3,1
521,HeStutters,2,208,HeStutters_2_208.wav,1,
523,HeStutters,2,210,HeStutters_2_210.wav,2,
524,HeStutters,2,211,HeStutters_2_211.wav,2,1
528,HeStutters,2,215,HeStutters_2_215.wav,3,1
531,HeStutters,3,2,HeStutters_3_2.wav,3,
532,HeStutters,3,3,HeStutters_3_3.wav,3,1
533,HeStutters,3,4,HeStutters_3_4.wav,1,
534,HeStutters,3,5,HeStutters_3_5.wav,1,
535,HeStutters,3,6,HeStutters_3_6.wav,2,1
540,HeStutters,3,11,HeStutters_3_11.wav,1,
541,HeStutters,3,12,HeStutters_3_12.wav,1,
542,HeStutters,3,13,HeStutters_3_13.wav,1,
544,HeStutters,3,15,HeStutters_3_15.wav,2,1
551,HeStutters,3,22,HeStutters_3_22.wav,2,1
558,HeStutters,3,29,HeStutters_3_29.wav,3,1
564,HeStutters,3,35,HeStutters_3_35.wav,1,
566,HeStutters,3,37,HeStutters_3_37.wav,3,
570,HeStutters,4,1,HeStutters_4_1.wav,1,
576,HeStutters,4,7,HeStutters_4_7.wav,2,
577,HeStutters,4,8,HeStutters_4_8.wav,2,1
578,HeStutters,4,9,HeStutters_4_9.wav,3,
579,HeStutters,4,10,HeStutters_4_10.wav,2,
583,HeStutters,4,14,HeStutters_4_14.wav,2,1
585,HeStutters,4,16,HeStutters_4_16.wav,3,1
587,HeStutters,4,18,HeStutters_4_18.wav,2,
592,HeStutters,4,23,HeStutters_4_23.wav,3,1
594,HeStutters,4,25,HeStutters_4_25.wav,1,
595,HeStutters,4,26,HeStutters_4_26.wav,2,
596,HeStutters,4,27,HeStutters_4_27.wav,1,
602,HeStutters,4,33,HeStutters_4_33.wav,3,
607,HeStutters,4,38,HeStutters_4_38.wav,2,
608,HeStutters,4,39,HeStutters_4_39.wav,3,1
611,HeStutters,5,2,HeStutters_5_2.wav,3,
613,HeStutters,5,4,HeStutters_5_4.wav,3,
616,HeStutters,5,7,HeStutters_5_7.wav,1,
618,HeStutters,5,9,HeStutters_5_9.wav,3,1
622,HeStutters,5,13,HeStutters_5_13.wav,1,
625,HeStutters,5,16,HeStutters_5_16.wav,1,
626,HeStutters,5,17,HeStutters_5_17.wav,3,1
627,HeStutters,5,18,HeStutters_5_18.wav,1,
629,HeStutters,5,20,HeStutters_5_20.wav,3,1
630,HeStutters,5,21,HeStutters_5_21.wav,2,1
631,HeStutters,5,22,HeStutters_5_22.wav,2,1
632,HeStutters,5,23,HeStutters_5_23.wav,3,1
633,HeStutters,5,24,HeStutters_5_24.wav,1,
634,HeStutters,5,25,HeStutters_5_25.wav,1,1
637,HeStutters,5,28,HeStutters_5_28.wav,1,
638,HeStutters,5,29,HeStutters_5_29.wav,2,1
640,HeStutters,5,31,HeStutters_5_31.wav,1,
646,HeStutters,5,37,HeStutters_5_37.wav,2,1
654,HeStutters,5,45,HeStutters_5_45.wav,2,1
655,HeStutters,5,46,HeStutters_5_46.wav,3,1
656,HeStutters,5,47,HeStutters_5_47.wav,1,1
657,HeStutters,5,48,HeStutters_5_48.wav,2,1
658,HeStutters,5,49,HeStutters_5_49.wav,2,1
659,HeStutters,5,50,HeStutters_5_50.wav,3,1
660,HeStutters,5,51,HeStutters_5_51.wav,2,1
667,HeStutters,5,58,HeStutters_5_58.wav,2,1
670,HeStutters,5,61,HeStutters_5_61.wav,1,
671,HeStutters,5,62,HeStutters_5_62.wav,3,1
675,HeStutters,5,66,HeStutters_5_66.wav,3,1
678,HeStutters,5,69,HeStutters_5_69.wav,1,
679,HeStutters,5,70,HeStutters_5_70.wav,1,1
680,HeStutters,5,71,HeStutters_5_71.wav,1,
683,HeStutters,5,74,HeStutters_5_74.wav,2,1
684,HeStutters,5,75,HeStutters_5_75.wav,2,1
685,HeStutters,5,76,HeStutters_5_76.wav,3,1
686,HeStutters,5,77,HeStutters_5_77.wav,1,
692,HeStutters,5,83,HeStutters_5_83.wav,1,
693,HeStutters,5,84,HeStutters_5_84.wav,1,
696,HeStutters,5,87,HeStutters_5_87.wav,3,1
699,HeStutters,5,90,HeStutters_5_90.wav,3,1
701,HeStutters,5,92,HeStutters_5_92.wav,1,
702,HeStutters,5,93,HeStutters_5_93.wav,2,1
703,HeStutters,5,94,HeStutters_5_94.wav,1,
708,HeStutters,5,99,HeStutters_5_99.wav,1,
710,HeStutters,5,101,HeStutters_5_101.wav,1,1
712,HeStutters,5,103,HeStutters_5_103.wav,1,
714,HeStutters,5,105,HeStutters_5_105.wav,3,1
715,HeStutters,5,106,HeStutters_5_106.wav,3,1
717,HeStutters,5,108,HeStutters_5_108.wav,2,
718,HeStutters,5,109,HeStutters_5_109.wav,3,1
719,HeStutters,5,110,HeStutters_5_110.wav,3,1
720,HeStutters,5,111,HeStutters_5_111.wav,2,
724,HeStutters,5,115,HeStutters_5_115.wav,2,1
728,HeStutters,5,119,HeStutters_5_119.wav,2,1
730,HeStutters,5,121,HeStutters_5_121.wav,1,
732,HeStutters,5,123,HeStutters_5_123.wav,3,1
733,HeStutters,5,124,HeStutters_5_124.wav,1,1
735,HeStutters,5,126,HeStutters_5_126.wav,1,
737,HeStutters,5,128,HeStutters_5_128.wav,3,1
740,HeStutters,5,131,HeStutters_5_131.wav,3,1
741,HeStutters,5,132,HeStutters_5_132.wav,1,
742,HeStutters,5,133,HeStutters_5_133.wav,3,1
747,HeStutters,5,138,HeStutters_5_138.wav,2,
748,HeStutters,5,139,HeStutters_5_139.wav,2,
750,HeStutters,5,141,HeStutters_5_141.wav,2,1
753,HeStutters,5,144,HeStutters_5_144.wav,2,1
754,HeStutters,5,145,HeStutters_5_145.wav,2,1
755,HeStutters,5,146,HeStutters_5_146.wav,1,
757,HeStutters,5,148,HeStutters_5_148.wav,1,1
758,HeStutters,5,149,HeStutters_5_149.wav,3,1
760,HeStutters,5,151,HeStutters_5_151.wav,1,
761,HeStutters,5,152,HeStutters_5_152.wav,2,
762,HeStutters,5,153,HeStutters_5_153.wav,3,1
763,HeStutters,5,154,HeStutters_5_154.wav,1,1
764,HeStutters,5,155,HeStutters_5_155.wav,3,1
767,HeStutters,5,158,HeStutters_5_158.wav,1,
771,HeStutters,5,162,HeStutters_5_162.wav,1,
772,HeStutters,5,163,HeStutters_5_163.wav,1,
773,HeStutters,5,164,HeStutters_5_164.wav,2,1
774,HeStutters,5,165,HeStutters_5_165.wav,3,1
775,HeStutters,5,166,HeStutters_5_166.wav,3,1
777,HeStutters,5,168,HeStutters_5_168.wav,2,
778,HeStutters,5,169,HeStutters_5_169.wav,2,
779,HeStutters,5,170,HeStutters_5_170.wav,2,1
781,HeStutters,5,172,HeStutters_5_172.wav,1,
788,HeStutters,5,179,HeStutters_5_179.wav,1,0
789,HeStutters,5,180,HeStutters_5_180.wav,2,1
792,HeStutters,5,183,HeStutters_5_183.wav,1,
793,HeStutters,5,184,HeStutters_5_184.wav,3,1
795,HeStutters,5,186,HeStutters_5_186.wav,2,
796,HeStutters,5,187,HeStutters_5_187.wav,2,1
801,HeStutters,5,192,HeStutters_5_192.wav,3,
810,HeStutters,6,2,HeStutters_6_2.wav,2,1
812,HeStutters,6,4,HeStutters_6_4.wav,1,
814,HeStutters,6,6,HeStutters_6_6.wav,1,
815,HeStutters,6,7,HeStutters_6_7.wav,3,1
819,HeStutters,6,11,HeStutters_6_11.wav,3,
825,HeStutters,6,17,HeStutters_6_17.wav,1,
830,HeStutters,6,22,HeStutters_6_22.wav,3,1
837,HeStutters,6,29,HeStutters_6_29.wav,1,
839,HeStutters,6,31,HeStutters_6_31.wav,1,
840,HeStutters,6,32,HeStutters_6_32.wav,1,
844,HeStutters,6,36,HeStutters_6_36.wav,1,
846,HeStutters,6,38,HeStutters_6_38.wav,3,1
855,HeStutters,6,47,HeStutters_6_47.wav,2,1
858,HeStutters,6,50,HeStutters_6_50.wav,3,1
860,HeStutters,6,52,HeStutters_6_52.wav,2,1
864,HeStutters,6,56,HeStutters_6_56.wav,3,1
866,HeStutters,6,58,HeStutters_6_58.wav,3,1
867,HeStutters,6,59,HeStutters_6_59.wav,1,
875,HeStutters,6,67,HeStutters_6_67.wav,3,1
876,HeStutters,6,68,HeStutters_6_68.wav,1,
882,HeStutters,6,74,HeStutters_6_74.wav,3,1
885,HeStutters,6,77,HeStutters_6_77.wav,3,1
889,HeStutters,6,81,HeStutters_6_81.wav,1,
896,HeStutters,6,88,HeStutters_6_88.wav,3,1
897,HeStutters,6,89,HeStutters_6_89.wav,3,1
898,HeStutters,6,90,HeStutters_6_90.wav,3,1
900,HeStutters,6,92,HeStutters_6_92.wav,2,1
902,HeStutters,6,94,HeStutters_6_94.wav,3,1
904,HeStutters,6,96,HeStutters_6_96.wav,3,1
905,HeStutters,6,97,HeStutters_6_97.wav,3,1
906,HeStutters,6,98,HeStutters_6_98.wav,1,
907,HeStutters,6,99,HeStutters_6_99.wav,2,1
910,HeStutters,6,102,HeStutters_6_102.wav,2,1
915,HeStutters,6,107,HeStutters_6_107.wav,3,1
917,HeStutters,6,109,HeStutters_6_109.wav,3,1
918,HeStutters,6,110,HeStutters_6_110.wav,1,
919,HeStutters,6,111,HeStutters_6_111.wav,1,
922,HeStutters,6,114,HeStutters_6_114.wav,3,1
923,HeStutters,6,115,HeStutters_6_115.wav,3,1
929,HeStutters,6,121,HeStutters_6_121.wav,3,1
931,HeStutters,6,123,HeStutters_6_123.wav,3,1
933,HeStutters,6,125,HeStutters_6_125.wav,3,1
939,HeStutters,6,131,HeStutters_6_131.wav,2,1
942,HeStutters,6,134,HeStutters_6_134.wav,2,1
950,HeStutters,6,142,HeStutters_6_142.wav,3,1
953,HeStutters,6,145,HeStutters_6_145.wav,3,1
954,HeStutters,6,146,HeStutters_6_146.wav,3,1
956,HeStutters,6,148,HeStutters_6_148.wav,2,1
961,HeStutters,6,153,HeStutters_6_153.wav,3,1
962,HeStutters,6,154,HeStutters_6_154.wav,3,1
964,HeStutters,6,156,HeStutters_6_156.wav,3,1
968,HeStutters,6,160,HeStutters_6_160.wav,1,
970,HeStutters,6,162,HeStutters_6_162.wav,3,1
973,HeStutters,6,165,HeStutters_6_165.wav,1,
975,HeStutters,6,167,HeStutters_6_167.wav,3,1
987,HeStutters,6,179,HeStutters_6_179.wav,2,1
991,HeStutters,6,183,HeStutters_6_183.wav,3,1
995,HeStutters,6,187,HeStutters_6_187.wav,3,1
998,HeStutters,6,190,HeStutters_6_190.wav,3,1
999,HeStutters,6,191,HeStutters_6_191.wav,1,
1000,HeStutters,6,192,HeStutters_6_192.wav,3,1
1004,HeStutters,6,196,HeStutters_6_196.wav,2,1
1007,HeStutters,6,199,HeStutters_6_199.wav,3,1
1009,HeStutters,6,201,HeStutters_6_201.wav,3,1
1011,HeStutters,6,203,HeStutters_6_203.wav,2,
1016,HeStutters,6,208,HeStutters_6_208.wav,2,1
1018,HeStutters,6,210,HeStutters_6_210.wav,2,1
1022,HeStutters,6,214,HeStutters_6_214.wav,1,
1023,HeStutters,6,215,HeStutters_6_215.wav,3,1
1027,HeStutters,6,219,HeStutters_6_219.wav,3,1
1029,HeStutters,6,221,HeStutters_6_221.wav,3,1
1031,HeStutters,6,223,HeStutters_6_223.wav,3,1
1037,HeStutters,6,229,HeStutters_6_229.wav,3,1
1038,HeStutters,6,230,HeStutters_6_230.wav,3,1
1043,HeStutters,6,235,HeStutters_6_235.wav,3,1
1046,HeStutters,6,238,HeStutters_6_238.wav,2,1
1053,HeStutters,6,245,HeStutters_6_245.wav,1,
1054,HeStutters,6,246,HeStutters_6_246.wav,2,1
1055,HeStutters,6,247,HeStutters_6_247.wav,1,
1056,HeStutters,6,248,HeStutters_6_248.wav,3,1
1058,HeStutters,6,250,HeStutters_6_250.wav,1,
1061,HeStutters,6,253,HeStutters_6_253.wav,2,1
1064,HeStutters,6,256,HeStutters_6_256.wav,2,1
1066,HeStutters,6,258,HeStutters_6_258.wav,1,
1070,HeStutters,6,262,HeStutters_6_262.wav,3,1
1071,HeStutters,6,263,HeStutters_6_263.wav,3,1
1072,HeStutters,6,264,HeStutters_6_264.wav,3,1
1073,HeStutters,6,265,HeStutters_6_265.wav,2,1
1074,HeStutters,6,266,HeStutters_6_266.wav,1,
1075,HeStutters,6,267,HeStutters_6_267.wav,3,1
1080,HeStutters,6,272,HeStutters_6_272.wav,3,1
1082,HeStutters,6,274,HeStutters_6_274.wav,2,1
1085,HeStutters,6,277,HeStutters_6_277.wav,2,1
1086,HeStutters,6,278,HeStutters_6_278.wav,3,1
1087,HeStutters,6,279,HeStutters_6_279.wav,1,
1099,HeStutters,6,291,HeStutters_6_291.wav,3,1
1101,HeStutters,6,293,HeStutters_6_293.wav,3,1
1102,HeStutters,7,0,HeStutters_7_0.wav,1,1
1113,HeStutters,7,11,HeStutters_7_11.wav,3,
1116,HeStutters,7,14,HeStutters_7_14.wav,1,
1146,HeStutters,8,4,HeStutters_8_4.wav,2,
1148,HeStutters,8,6,HeStutters_8_6.wav,1,
1150,HeStutters,8,8,HeStutters_8_8.wav,1,
1151,HeStutters,8,9,HeStutters_8_9.wav,3,
1152,HeStutters,8,10,HeStutters_8_10.wav,1,
1156,HeStutters,8,14,HeStutters_8_14.wav,1,
1160,HeStutters,8,18,HeStutters_8_18.wav,1,
1162,HeStutters,8,20,HeStutters_8_20.wav,3,1
1164,HeStutters,8,22,HeStutters_8_22.wav,1,1
1168,HeStutters,8,26,HeStutters_8_26.wav,1,
1177,HeStutters,8,35,HeStutters_8_35.wav,3,1
1181,HeStutters,8,39,HeStutters_8_39.wav,2,1
1182,HeStutters,8,40,HeStutters_8_40.wav,3,1
1188,HeStutters,8,46,HeStutters_8_46.wav,2,1
1189,HeStutters,8,47,HeStutters_8_47.wav,3,1
1190,HeStutters,8,48,HeStutters_8_48.wav,1,
1191,HeStutters,8,49,HeStutters_8_49.wav,2,
1193,HeStutters,8,51,HeStutters_8_51.wav,1,
1198,HeStutters,8,56,HeStutters_8_56.wav,1,
1200,HeStutters,8,58,HeStutters_8_58.wav,1,1
1207,HeStutters,8,65,HeStutters_8_65.wav,3,
1209,HeStutters,8,67,HeStutters_8_67.wav,3,1
1212,HeStutters,8,70,HeStutters_8_70.wav,2,1
1215,HeStutters,8,73,HeStutters_8_73.wav,1,
1229,HeStutters,8,87,HeStutters_8_87.wav,1,
1230,HeStutters,8,88,HeStutters_8_88.wav,1,
1231,HeStutters,8,89,HeStutters_8_89.wav,1,
1233,HeStutters,8,91,HeStutters_8_91.wav,1,
1235,HeStutters,8,93,HeStutters_8_93.wav,1,1
1238,HeStutters,8,96,HeStutters_8_96.wav,3,
1248,HeStutters,8,106,HeStutters_8_106.wav,1,
1249,HeStutters,8,107,HeStutters_8_107.wav,2,
1260,HeStutters,8,118,HeStutters_8_118.wav,3,1
1262,HeStutters,8,120,HeStutters_8_120.wav,3,
1267,HeStutters,8,125,HeStutters_8_125.wav,1,
1271,HeStutters,8,129,HeStutters_8_129.wav,3,
1272,HeStutters,8,130,HeStutters_8_130.wav,3,
1273,HeStutters,8,131,HeStutters_8_131.wav,1,
1277,HeStutters,8,135,HeStutters_8_135.wav,1,
1284,HeStutters,8,142,HeStutters_8_142.wav,3,1
1286,HeStutters,8,144,HeStutters_8_144.wav,1,
1293,HeStutters,8,151,HeStutters_8_151.wav,1,
1296,HeStutters,8,154,HeStutters_8_154.wav,1,
1298,HeStutters,8,156,HeStutters_8_156.wav,1,
1299,HeStutters,8,157,HeStutters_8_157.wav,1,
1301,HeStutters,8,159,HeStutters_8_159.wav,1,
1311,HeStutters,8,169,HeStutters_8_169.wav,2,
1327,HeStutters,8,185,HeStutters_8_185.wav,1,
1331,HeStutters,8,189,HeStutters_8_189.wav,2,
1332,HeStutters,8,190,HeStutters_8_190.wav,3,1
1333,HeStutters,8,191,HeStutters_8_191.wav,1,
1335,HeStutters,8,193,HeStutters_8_193.wav,1,
1338,HeStutters,8,196,HeStutters_8_196.wav,1,
1349,HeStutters,9,5,HeStutters_9_5.wav,1,
1352,HeStutters,9,8,HeStutters_9_8.wav,3,1
1373,HeStutters,9,29,HeStutters_9_29.wav,2,
1375,HeStutters,9,31,HeStutters_9_31.wav,3,
1377,HeStutters,9,33,HeStutters_9_33.wav,1,1
1390,HeStutters,10,6,HeStutters_10_6.wav,2,1
1391,HeStutters,10,7,HeStutters_10_7.wav,1,
1393,HeStutters,10,9,HeStutters_10_9.wav,3,1
1397,HeStutters,10,13,HeStutters_10_13.wav,3,1
1398,HeStutters,10,14,HeStutters_10_14.wav,3,1
1399,HeStutters,10,15,HeStutters_10_15.wav,3,1
1401,HeStutters,10,17,HeStutters_10_17.wav,2,
1402,HeStutters,10,18,HeStutters_10_18.wav,3,1
1403,HeStutters,10,19,HeStutters_10_19.wav,3,1
1404,HeStutters,10,20,HeStutters_10_20.wav,3,1
1407,HeStutters,10,23,HeStutters_10_23.wav,2,1
1408,HeStutters,10,24,HeStutters_10_24.wav,1,
1410,HeStutters,10,26,HeStutters_10_26.wav,2,1
1412,HeStutters,10,28,HeStutters_10_28.wav,2,1
1415,HeStutters,10,31,HeStutters_10_31.wav,2,
1416,HeStutters,10,32,HeStutters_10_32.wav,3,1
1417,HeStutters,10,33,HeStutters_10_33.wav,1,
1420,HeStutters,10,36,HeStutters_10_36.wav,1,
1421,HeStutters,10,37,HeStutters_10_37.wav,3,1
1422,HeStutters,10,38,HeStutters_10_38.wav,3,1
1425,HeStutters,11,1,HeStutters_11_1.wav,3,1
1427,HeStutters,11,3,HeStutters_11_3.wav,2,1
1428,HeStutters,11,4,HeStutters_11_4.wav,3,1
1430,HeStutters,11,6,HeStutters_11_6.wav,2,1
1431,HeStutters,11,7,HeStutters_11_7.wav,3,
1432,HeStutters,11,8,HeStutters_11_8.wav,3,
1433,HeStutters,11,9,HeStutters_11_9.wav,1,
1434,HeStutters,11,10,HeStutters_11_10.wav,3,1
1439,HeStutters,11,15,HeStutters_11_15.wav,3,
1440,HeStutters,11,16,HeStutters_11_16.wav,1,
1441,HeStutters,11,17,HeStutters_11_17.wav,2,
1449,HeStutters,11,25,HeStutters_11_25.wav,1,
1451,HeStutters,11,27,HeStutters_11_27.wav,2,1
1452,HeStutters,11,28,HeStutters_11_28.wav,3,1
1454,HeStutters,11,30,HeStutters_11_30.wav,1,
1455,HeStutters,11,31,HeStutters_11_31.wav,3,1
1457,HeStutters,11,33,HeStutters_11_33.wav,2,
1461,HeStutters,11,37,HeStutters_11_37.wav,1,
1466,HeStutters,11,42,HeStutters_11_42.wav,1,
1468,HeStutters,11,44,HeStutters_11_44.wav,2,
1470,HeStutters,11,46,HeStutters_11_46.wav,3,1
1471,HeStutters,11,47,HeStutters_11_47.wav,2,1
1473,HeStutters,11,49,HeStutters_11_49.wav,1,
1475,HeStutters,11,51,HeStutters_11_51.wav,3,1
1476,HeStutters,11,52,HeStutters_11_52.wav,1,
1478,HeStutters,11,54,HeStutters_11_54.wav,3,1
1479,HeStutters,11,55,HeStutters_11_55.wav,3,1
1482,HeStutters,11,58,HeStutters_11_58.wav,3,1
1483,HeStutters,11,59,HeStutters_11_59.wav,3,1
1488,HeStutters,11,64,HeStutters_11_64.wav,3,1
1489,HeStutters,11,65,HeStutters_11_65.wav,3,1
1496,HeStutters,11,72,HeStutters_11_72.wav,2,1
1498,HeStutters,11,74,HeStutters_11_74.wav,1,1
1499,HeStutters,11,75,HeStutters_11_75.wav,1,1
1500,HeStutters,11,76,HeStutters_11_76.wav,1,
